"","Latitude","Longitude","Cal BP(Maximun probability)","error(yr)","R","sdR","pair","reference","obs","period"
"1","-33.0409","-71.6087","-2","2.5","164.1","91.05","1","Merino-Campos et al. 2019","post-bomb","CWP"
"2","-33.0409","-71.6087","2","2.5","184.844927885746","75.2273066599172","2","Merino-Campos et al. 2019","reliable date","CWP"
"3","-34.6418","-72.0432","2","2.5","160.96","92.66","4","Merino-Campos et al. 2019","reliable date","CWP"
"4","-36.626","-73.0619","-4","2.5","231.9","120.96","5","Merino-Campos et al. 2019","post-bomb","CWP"
"5","-36.626","-73.0619","8","2.5","187.102329240831","82.7310962136256","6","Merino-Campos et al. 2019","reliable date","CWP"
"6","-33.6414","-78.8411","48","2.5","114.98","92.62","8","Merino-Campos et al. 2019","reliable date","CWP"
"7","-36.7364","-72.9936","62","2.5","115.036505624571","77.2014262568337","9","Merino-Campos et al. 2019","reliable date","CWP"
"8","-36.7395","-73.1577","62","2.5","139.16","120.87","11","Merino-Campos et al. 2019","reliable date","CWP"
"9","-41.4754","-72.9465","44","2.5","135.509087522461","74.4169908402799","12","Merino-Campos et al. 2019","reliable date","CWP"
"10","-41.8596","-73.8216","4","2.5","161.374079359331","7.59272470156394","14","Merino-Campos et al. 2019","reliable date","CWP"
"11","-41.8596","-73.8216","2","2.5","159.848616889559","64.9868420742094","15","Merino-Campos et al. 2019","reliable date","CWP"
"12","-41.8596","-73.8216","-4","2.5","165.97","90.96","17","Merino-Campos et al. 2019","post-bomb","CWP"
"13","-41.8596","-73.8216","76","2.5","125.58","119.43","19","Merino-Campos et al. 2019","reliable date","CWP"
"14","-41.8596","-73.8216","104","2.5","41.65","96.51","20","Merino-Campos et al. 2019","reliable date","CWP"
"15","-41.9141","-73.7548","4","2.5","158.07","90.95","22","Merino-Campos et al. 2019","reliable date","CWP"
"16","-42.3812","-73.6477","-4","2.5","166.99500809367","65.5240427247899","23","Merino-Campos et al. 2019","post-bomb","CWP"
"17","-42.4796","-73.76","62","2.5","113.8","111.38","24","Merino-Campos et al. 2019","reliable date","CWP"
"18","-52.1265","-73.4964","2","2.5","159.45","89.72","26","Merino-Campos et al. 2019","reliable date","CWP"
"19","-53.181","-70.9223","0","2.5","162.03","90.98","27","Merino-Campos et al. 2019","reliable date","CWP"
"20","-53.2912","-70.4507","2","2.5","159.3","89.69","28","Merino-Campos et al. 2019","reliable date","CWP"
"21","-53.1587","-70.9064","-2","2.5","163.38","89.7","29","Merino-Campos et al. 2019","post-bomb","CWP"
"22","-54.0667","-71.0054","2","2.5","159.43","89.66","30","Merino-Campos et al. 2019","reliable date","CWP"
"23","-54.317","-69.5","0","2.5","161.46","89.67","31","Merino-Campos et al. 2019","reliable date","CWP"
"24","-54.433","-70.433","2","2.5","159.32","89.79","32","Merino-Campos et al. 2019","reliable date","CWP"
"25","-54.9747","-71.1044","2","2.5","159.33","89.78","33","Merino-Campos et al. 2019","reliable date","CWP"
"26","-29.9516","-71.3491","118","2.5","42.76","91.15","1","Carre et al. 2016","reliable date","CWP"
"27","-31.9","-71.5","3246","73","70.63","252.61","2","Carre et al. 2016","strickly relationship","CWP-LH"
"28","-31.9","-71.5","6789","65.5","-196.66","273.54","3","Carre et al. 2016","strickly relationship","EH"
"29","-31.9","-71.5","8541","114.5","-111.11","213.09","4","Carre et al. 2016","strickly relationship","EH"
"30","-31.9","-71.5","8599","100.5","-299.71","264.78","5","Carre et al. 2016","strickly relationship","EH"
"31","-31.9","-71.5","9550","66.5","-66.97","285.55","6","Carre et al. 2016","strickly relationship","EH"
"32","-31.9","-71.5","9540","312","76.31","447.85","7","Carre et al. 2016","strickly relationship","EH"
"33","-31.9","-71.5","10251","67.5","-503.037774835918","233.868844832948","8","Carre et al. 2016","strickly relationship","EH"
"34","-31.9","-71.5","11196","34.5","591.857348307688","238.789314283665","10","Carre et al. 2016","strickly relationship","EH"
"35","-31.9","-71.5","11241","23.5","-191.97","347.7","12","Carre et al. 2016","strickly relationship","EH"
"36","-31.9","-71.5","11468","139","-48.3280512828973","210.102215664439","13","Carre et al. 2016","strickly relationship","EH"
"37","-13.9554","-76.2667","8","2.5","172.097696956178","28.6492333588306","1","Etayo et al.2019","reliable date","CWP"
"38","-8.2373","-78.9662","30","2.5","180.976218289206","34.0917604049773","31","Etayo et al.2019","reliable date","CWP"
"39","-4.6449","-81.3264","26","2.5","138.131233943842","2.31973251176297","41","Etayo et al.2019","reliable date","CWP"
"40","-16.33","-74.3","8331","250.5","320.89","409.61","1","Ortlieb et al. 2011","strickly relationship","EH"
"41","-16.33","-74.3","10095","305","3","548.25","2","Ortlieb et al. 2011","strickly relationship","EH"
"42","-17.23","-71.6","2267","299.5","80.13","412.68","3","Ortlieb et al. 2011","strickly relationship","CWP-LH"
"43","-17.96","-70.88","3770","84.5","58.6599671037159","234.270540393012","4","Ortlieb et al. 2011","strickly relationship","CWP-LH"
"44","-17.96","-70.88","3798","124","177.51149044974","217.788061773862","6","Ortlieb et al. 2011","strickly relationship","CWP-LH"
"45","-17.96","-70.88","6886","101.5","613.481195717168","320.064434373488","8","Ortlieb et al. 2011","strickly relationship","EH"
"46","-17.96","-70.88","7588","101","-130.10084351239","319.362574050686","11","Ortlieb et al. 2011","strickly relationship","EH"
"47","-21.82","-69.72","38","18.5","168.4","133.04","14","Ortlieb et al. 2011","reliable date","CWP"
"48","-23.06","-69.33","28","10.5","158.172153862483","39.4097988971413","15","Ortlieb et al. 2011","reliable date","CWP"
"49","-23.06","-69.33","41","9.5","207.46","179.7","19","Ortlieb et al. 2011","reliable date","CWP"
"50","-12","-72.7","2","2.5","547.05","168.36","1","Gutierrez et al. 2009","strickly relationship","CWP"
"51","-12","-72.7","33","6.5","210.04","169.41","2","Gutierrez et al. 2009","strickly relationship","CWP"
"52","-12","-72.7","59","8.5","181.62","175.32","3","Gutierrez et al. 2009","strickly relationship","CWP"
"53","-12","-72.7","80","10.5","157.67","131.18","4","Gutierrez et al. 2009","strickly relationship","CWP"
"54","-14.07","-76.5","0","3.5","229.66","128.91","5","Gutierrez et al. 2009","strickly relationship","CWP"
"55","-14.07","-76.5","30","4.5","222.39","145.53","6","Gutierrez et al. 2009","strickly relationship","CWP"
"56","-14.07","-76.5","67","4.5","181.06","154.3","7","Gutierrez et al. 2009","strickly relationship","CWP"
"57","-14.07","-76.5","90","5.5","162.16","156.25","8","Gutierrez et al. 2009","strickly relationship","CWP"
"58","-12.06","-77.16","48","2.5","160.329669551309","27.4282878379291","1","Jones et al. 2007","strickly relationship","CWP"
"59","-5.75","-81","48","2.5","166.235157027599","24.8466724565492","9","Jones et al. 2007","strickly relationship","CWP"
"60","-12.06","-77.16","30","2.5","191.924557515847","29.8323870718392","13","Jones et al. 2007","strickly relationship","CWP"
"61","-8.23","-79","30","2.5","168.599859740995","30.0712685022131","19","Jones et al. 2007","strickly relationship","CWP"
"62","-18.04","-70.83","8040","106","906.51111815971","238.674163269876","1","Fontugne et al. 2004","not relationship","EH"
"63","-18.04","-70.83","6630","71","503.43","260.56","2","Fontugne et al. 2004","not relationship","EH"
"64","-18.04","-70.83","7320","81","297.26","283.8","3","Fontugne et al. 2004","not relationship","EH"
"65","-18.04","-70.83","6940","60.5","443.57","241.89","4","Fontugne et al. 2004","not relationship","EH"
"66","-18.04","-70.83","6460","60.5","-132.8","315.38","5","Fontugne et al. 2004","not relationship","EH"
"67","-18.04","-70.83","6510","60.5","-182.86","315.36","6","Fontugne et al. 2004","not relationship","EH"
"68","-18.04","-70.83","8160","71","1235.18","475.4","7","Fontugne et al. 2004","strickly relationship","EH"
"69","-18.04","-70.83","3700","40.5","752.41","268.6","9","Fontugne et al. 2004","strickly relationship","LH"
"70","-18.04","-70.83","6090","81","1056.56546340424","231.653973971937","10","Fontugne et al. 2004","strickly relationship","EH"
"71","-18.04","-70.83","6560","91","1225.05","330.07","11","Fontugne et al. 2004","strickly relationship","EH"
"72","-18.04","-70.83","7390","50.5","1049.8","227.93","12","Fontugne et al. 2004","strickly relationship","EH"
"73","-18.04","-70.83","6595","76","862.48","300.98","13","Fontugne et al. 2004","strickly relationship","EH"
"74","-18.04","-70.83","3120","81","218.1","383.86","14","Fontugne et al. 2004","strickly relationship","LH"
"75","-18.04","-70.83","6500","81","1570.94","381.15","15","Fontugne et al. 2004","strickly relationship","EH"
"76","-18.04","-70.83","375","30.5","81.43","163.46","16","Fontugne et al. 2004","strickly relationship","CWP-LH"
"77","-18.04","-70.83","8650","71","1939.66","392.96","18","Fontugne et al. 2004","strickly relationship","EH"
"78","-18.04","-70.83","7360","101","810.33","360.4","19","Fontugne et al. 2004","strickly relationship","EH"
"79","-17.6","-71.23","658","146.5","93.54","212.04","1","Owen 2002","strickly relationship","CWP-LH"
"80","-17.6","-71.23","570","38","208.59","208.77","2","Owen 2002","strickly relationship","CWP-LH"
"81","-17.6","-71.23","600","36","335.78","191.7","3","Owen 2002","strickly relationship","CWP-LH"
"82","-17.6","-71.23","3640","68","135.74","281.26","4","Owen 2002","strickly relationship","CWP-LH"
"83","-17.53","-71.35","5312","156","-22.05","344.07","1","Kennett et al. 2002","strickly relationship","MH"
"84","-17.53","-71.35","5130","139.5","-161.01","335.23","2","Kennett et al. 2002","strickly relationship","MH"
"85","-33.1","-71.8","16","2.5","201.53","117.09","1","Ingram&Southon 1996","strickly relationship","CWP"
"86","-53.181","-70.9223","16","2.5","211.28","126.26","2","Ingram&Southon 1996","strickly relationship","CWP"
"87","0","-90","22","2.5","154.44","101.77","1","Taylor & Berger 1967","strickly relationship","CWP"
"88","0","-90","24","2.5","145.61","98.22","2","Taylor & Berger 1967","strickly relationship","CWP"
"89","-10","-80","20","2.5","230.61","131.37","3","Taylor & Berger 1967","strickly relationship","CWP"
"90","-14","-78","20","2.5","505.42","168.56","4","Taylor & Berger 1967","strickly relationship","CWP"
"91","-24","-70","26","2.5","150.15","112.6","5","Taylor & Berger 1967","strickly relationship","CWP"
"92","-33","-72","20","2.5","241.94","153.87","6","Taylor & Berger 1967","strickly relationship","CWP"
